mp_id,formula,band_gap_mp,formation_energy_per_atom_mp,energy_above_hull_mp,is_stable_mp,cbm_mp,vbm_mp,efermi_mp,has_band_edges_mp
mp-754672,TiO2,2.9747,-3.4277171819444434,0.08033827000000038,False,2.6879,-0.2868,-0.15827006,True
mp-754769,TiO2,2.2943,-3.4717620544444436,0.03629339750000149,False,4.8458,2.5515,2.55735926,True
mp-755071,SnO2,1.3075999999999999,-2.0200348016666667,0.08744720333333333,False,4.9868,3.6792,3.85358799,True
mp-755394,VO2,0.0,-2.385931455,0.09434424333333524,False,,,2.99473611,False
mp-755411,VO2,0.25509999999999966,-2.4177826500000004,0.10468552666665154,False,2.8499,2.5948,2.71787358,True
mp-756478,WO3,1.3986,-2.1801971206250004,0.010663485937499217,False,1.8987,0.5001,0.58787044,True
mp-756587,TiO2,2.3165,-3.390097015694445,0.11795843624999947,False,4.1521,1.8356,1.86784379,True
mp-756655,TiO2,2.4317,-3.4335929115277786,0.07446254041666656,False,4.1303,1.6986,1.75148744,True
mp-766454,TiO2,2.2310000000000003,-3.4621163130555552,0.045939138888888564,False,4.5369,2.3059,2.3514411,True
mp-775757,HfO2,4.016500000000001,-4.00988240208333,0.009928638750000829,False,7.1284,3.1119,3.17051758,True
mp-775938,TiO2,2.0838999999999994,-3.495808560833333,0.012246891111111324,False,5.1808,3.0969,3.12858883,True
mp-776018,SrTiO3,1.7362000000000002,-3.512559820333334,0.039102471333333,False,4.8246,3.0884,3.14260689,True
mp-776097,HfO2,4.1383,-3.980512993055552,0.03929804777777868,False,6.325,2.1867,2.28791335,True
mp-776532,HfO2,3.9087000000000005,-3.982831039166664,0.036980001666666595,False,6.142,2.2333,2.37902144,True
mp-777129,TiO2,3.3083,-3.454227132777779,0.05382831916666575,False,1.2092,-2.0991,-1.97378353,True
mp-777469,VO2,0.0,-2.4746828750000014,0.04778530166665185,False,2.67801569,2.67801569,2.67801569,True
mp-777479,VO2,1.4226999999999999,-2.454352872500001,0.025922825833333718,False,2.117,0.6943,0.8153583,True
mp-825726,WO3,1.6278,-2.181464283125,0.009396323437499632,False,2.0694,0.4416,0.48986261,True
mp-826026,WO3,0.7382000000000001,-2.1836441256250003,0.00721648093749927,False,0.9693,0.2311,0.23753903,True
mp-849511,VO2,0.5491000000000001,-2.458837664,0.0636305126666521,False,2.7511,2.202,2.21972649,True
mp-849533,TiO2,2.7647,-3.411356993194444,0.09669845874999972,False,3.1955,0.4308,0.49104811,True
mp-856,SnO2,0.6607000000000003,-2.107482005,0.0,True,6.1665,5.5058,5.62521646,True
mp-9173,TiO2,2.4795,-3.4505556619444433,0.05749979000000138,False,4.2656,1.7861,1.94176412,True
mp-997630,ZnO,0.5251999999999999,-1.6176554591666672,0.17324365333333258,False,2.8737,2.3485,2.40632908,True
